#SiteLabel,SiteId,LaneId,Width_in_m,Collimated
L,6,1,4.01,?
L,6,2,4.01,?
L,6,3,4.04,?
T,7,1,5,n
T,7,2,4.97,n
T,7,3,4.98,n
T,7,4,4.96,n
V,8,1,5.12,n
V,8,2,5.13,n
V,8,3,4.93,n
V,8,4,4.93,n
V,8,5,5.7,n
V,8,6,4.92,n
V,8,7,4.92,n
V,8,8,4.92,n
V,8,9,4.92,n
V,8,10,4.92,n
V,8,11,4.92,n
V,8,12,5.13,n
V,8,13,5.92,n
V,8,14,5.92,n
V,8,15,4.92,n
V,8,16,5.93,n
V,8,17,5.91,n
V,8,18,5.92,n
V,8,19,4.95,n
V,8,20,5.92,n
V,8,21,4.92,n
V,8,22,5.94,n
V,8,23,4.94,n
V,8,24,4.92,n
V,8,25,4.92,n
V,8,26,4.92,n
V,8,27,5.12,n
V,8,28,5.11,n
V,8,29,4.93,n
V,8,30,4.92,n
V,8,31,5.93,n
V,8,32,5.14,n
V,8,33,5.45,n
V,8,34,4.93,n
V,8,35,4.89,n
V,8,36,4.9,n
V,8,37,5.12,n
V,8,38,4.92,n
V,8,39,4.91,n
V,8,40,5.12,n
V,8,41,0,n
V,8,42,4.2,n
V,8,43,4.16,n
V,8,44,4.47,n
V,8,45,4.44,n
V,8,46,0,n
F,9,1,4.6,?
F,9,2,4.6,?
F,9,3,4.6,?
F,9,4,4.6,?
F,9,5,4.6,?
F,9,6,4.6,y
F,9,7,5.8,y
F,9,8,1,?
F,9,9,1,?
F,9,10,8,?
F,9,11,0,?
F,9,12,4.6,?
F,9,13,4.6,?
F,9,14,0.8,?
F,9,15,4.1,?
F,9,16,4.1,?
F,9,17,4.8,?
F,9,18,6,?
F,9,19,1,?
F,9,20,4.6,?
F,9,21,4.6,?
H,10,1,6,y
H,10,2,1.5,y
H,10,3,0,y
H,10,4,4.5,y
H,10,5,0,y
H,10,6,5,y
H,10,7,5,y
H,10,8,3.2,y
H,10,9,4.4,y
H,10,10,4.5,y
H,10,11,4.5,y
H,10,12,5.9,y
H,10,13,4.59,y
H,10,14,4.48,y
J,11,1,4.25,y
J,11,2,4.4,y
J,11,3,4.4,y
J,11,4,0,y
J,11,5,4.36,y
J,11,6,0,y
J,11,7,4.4,y
J,11,8,4.39,y
J,11,9,4.45,y
J,11,10,5.6,y
J,11,11,4.4,y
J,11,12,4.37,y
J,11,13,4.36,y
J,11,14,4.4,y
J,11,15,4.39,y
J,11,16,0,y
J,11,17,4.43,y
J,11,18,4.4,y
J,11,19,4.39,y
J,11,20,4.43,y
J,11,21,4.41,y
J,11,22,4.37,y
J,11,23,4.4,y
J,11,24,4.97,y
J,11,25,4.97,y
J,11,26,4.35,y
J,11,27,4.16,y
J,11,28,4.15,y
J,11,29,4.17,y
J,11,30,3.89,y
J,11,31,4.14,y
J,11,32,4.1,y
J,11,33,4.1,y
J,11,34,4.13,y
J,11,35,4.41,y
J,11,36,4.53,y
J,11,37,4.39,y
J,11,38,4.4,y
J,11,39,4.5,y
J,11,40,4.17,y
J,11,41,4.48,y
J,11,42,4.5,y
J,11,43,0,y
J,11,44,0,y
G,12,1,4.6,n
G,12,2,5.5,n
I,13,1,5,n
I,13,2,5.14,n
I,13,3,6.15,n
I,13,4,5.13,n
M,14,1,4.33,n
M,14,2,4.39,n
M,14,3,4.36,n
M,14,4,4.45,n
M,14,5,4.31,n
M,14,6,4.34,n
K,15,1,4.54,n
K,15,2,4.53,n
K,15,3,4.55,n
K,15,4,4.02,n
K,15,5,4.52,n
K,15,6,4.52,n
K,15,7,4.52,n
K,15,8,4.54,n
K,15,9,4.5,n
K,15,10,4.52,n
K,15,11,4.52,n
K,15,12,4.56,n
N,16,1,4.5,n
N,16,2,4.51,n
N,16,3,4.52,n
N,16,4,4.52,n
N,16,5,4.514,n
P,17,1,4.5,n
P,17,2,4.5,n
P,17,3,4.5,n
P,17,4,4.5,n
P,17,5,4.5,n
P,17,6,4.5,n
Q,18,1,4,n
Q,18,2,4,n
Q,18,3,3.89,n
Q,18,4,4.76,n
Q,18,5,4.56,n
Q,18,6,4.56,n
R,19,1,4.67,n
R,19,2,5.36,n
R,19,3,4.32,n
R,19,4,4.92,n
S,20,1,4.399,y
S,20,2,4.414,y
S,20,3,4.393,y
S,20,4,4.434,y
S,20,5,4.417,y
S,20,6,4.41,y
S,20,7,4.413,y
S,20,8,4.42,y
Z,21,1,4.6,y
Z,21,2,4.6,y
Z,21,3,4.6,y
Z,21,4,4.6,y
Z,21,5,4.6,y
X,22,1,4.79,y
X,22,2,5.81,y
Y,23,1,4.94,y
Y,23,2,5.05,y
U,24,1,4.73,y
U,24,2,4.71,y
U,24,3,4.47,y
U,24,4,4.75,y
U,24,5,4.75,y
U,24,6,4.72,y
U,24,7,4.77,y
U,24,8,4.71,y
U,24,9,4.75,y
U,24,10,4.75,y
U,24,11,4.72,y
U,24,12,4.73,y
U,24,13,4.72,y
U,24,14,4.72,y
U,24,15,4.72,y
U,24,16,4.74,y
U,24,17,4.51,y
U,24,18,4.41,y
U,24,19,4.51,y
U,24,20,4.5,y
U,24,21,4.47,y
U,24,22,4.42,y
U,24,23,4.5,y
U,24,24,4.49,y
W,25,1,5.93,y
W,25,2,5.9,y
W,25,3,4.91,y
W,25,4,4.81,y
W,25,5,4.91,y
W,25,6,4.92,y
W,25,7,5.11,y
W,25,8,4.72,y
W,25,9,5.9,y
W,25,10,4.19,y
W,25,11,4.93,y
